code,label,path
101001,Algebra,Naturwissenschaften > Mathematik > Mathematik > Algebra
101002,Analysis,Naturwissenschaften > Mathematik > Mathematik > Analysis
101003,Angewandte Geometrie,Naturwissenschaften > Mathematik > Mathematik > Angewandte Geometrie
101031,Approximationstheorie,Naturwissenschaften > Mathematik > Mathematik > Approximationstheorie
101004,Biomathematik,Naturwissenschaften > Mathematik > Mathematik > Biomathematik
101005,Computeralgebra,Naturwissenschaften > Mathematik > Mathematik > Computeralgebra
101006,Differentialgeometrie,Naturwissenschaften > Mathematik > Mathematik > Differentialgeometrie
101027,Dynamische Systeme,Naturwissenschaften > Mathematik > Mathematik > Dynamische Systeme
101007,Finanzmathematik,Naturwissenschaften > Mathematik > Mathematik > Finanzmathematik
101032,Funktionalanalysis,Naturwissenschaften > Mathematik > Mathematik > Funktionalanalysis
101008,Funktionentheorie,Naturwissenschaften > Mathematik > Mathematik > Funktionentheorie
101009,Geometrie,Naturwissenschaften > Mathematik > Mathematik > Geometrie
101010,Geschichte der Mathematik,Naturwissenschaften > Mathematik > Mathematik > Geschichte der Mathematik
101011,Graphentheorie,Naturwissenschaften > Mathematik > Mathematik > Graphentheorie
101012,Kombinatorik,Naturwissenschaften > Mathematik > Mathematik > Kombinatorik
101013,Mathematische Logik,Naturwissenschaften > Mathematik > Mathematik > Mathematische Logik
101028,Mathematische Modellierung,Naturwissenschaften > Mathematik > Mathematik > Mathematische Modellierung
101029,Mathematische Statistik,Naturwissenschaften > Mathematik > Mathematik > Mathematische Statistik
101014,Numerische Mathematik,Naturwissenschaften > Mathematik > Mathematik > Numerische Mathematik
101015,Operations Research,Naturwissenschaften > Mathematik > Mathematik > Operations Research
101016,Optimierung,Naturwissenschaften > Mathematik > Mathematik > Optimierung
101017,Spieltheorie,Naturwissenschaften > Mathematik > Mathematik > Spieltheorie
101018,Statistik,Naturwissenschaften > Mathematik > Mathematik > Statistik
101019,Stochastik,Naturwissenschaften > Mathematik > Mathematik > Stochastik
101020,Technische Mathematik,Naturwissenschaften > Mathematik > Mathematik > Technische Mathematik
101021,Theoretische Kybernetik,Naturwissenschaften > Mathematik > Mathematik > Theoretische Kybernetik
101022,Topologie,Naturwissenschaften > Mathematik > Mathematik > Topologie
101023,Versicherungsmathematik,Naturwissenschaften > Mathematik > Mathematik > Versicherungsmathematik
101024,Wahrscheinlichkeitstheorie,Naturwissenschaften > Mathematik > Mathematik > Wahrscheinlichkeitstheorie
101025,Zahlentheorie,Naturwissenschaften > Mathematik > Mathematik > Zahlentheorie
101026,Zeitreihenanalyse,Naturwissenschaften > Mathematik > Mathematik > Zeitreihenanalyse
101030,Zuverlässigkeitstheorie,Naturwissenschaften > Mathematik > Mathematik > Zuverlässigkeitstheorie
102001,Artificial Intelligence,Naturwissenschaften > Informatik > Informatik > Artificial Intelligence
102002,Augmented Reality,Naturwissenschaften > Informatik > Informatik > Augmented Reality
102003,Bildverarbeitung,Naturwissenschaften > Informatik > Informatik > Bildverarbeitung
102004,Bioinformatik (106005),Naturwissenschaften > Informatik > Informatik > Bioinformatik (106005)
102032,Computational Intelligence,Naturwissenschaften > Informatik > Informatik > Computational Intelligence
102005,Computer Aided Design (CAD),Naturwissenschaften > Informatik > Informatik > Computer Aided Design (CAD)
102006,Computer Supported Cooperative Work (CSCW),Naturwissenschaften > Informatik > Informatik > Computer Supported Cooperative Work (CSCW)
102007,Computeranimation,Naturwissenschaften > Informatik > Informatik > Computeranimation
102008,Computergraphik,Naturwissenschaften > Informatik > Informatik > Computergraphik
102009,Computersimulation,Naturwissenschaften > Informatik > Informatik > Computersimulation
102034,Cyber-Physical Systems,Naturwissenschaften > Informatik > Informatik > Cyber-Physical Systems
